| Depth D | Condition | Mean D | SD | Range | CV | Entropy range |
|---|---|---|---|---|---|---|
| 128 | NATURAL | 0.0011 | 0.0007 | 0.0013 | 65.7% | 0.1565-0.1686 |
| 128 | ABLATED | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1420-0.1420 |
| 128 | NEUTRAL_RESET | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1438-0.1438 |
| 128 | TRANSPLANT | 0.0011 | 0.0007 | 0.0013 | 65.7% | 0.1565-0.1686 |
| 256 | NATURAL | 0.0005 | 0.0003 | 0.0006 | 53.8% | 0.1689-0.1880 |
| 256 | ABLATED | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1420-0.1420 |
| 256 | NEUTRAL_RESET | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1438-0.1438 |
| 256 | TRANSPLANT | 0.0005 | 0.0003 | 0.0006 | 53.8% | 0.1689-0.1880 |
| 384 | NATURAL | 0.0006 | 0.0003 | 0.0005 | 43.8% | 0.1738-0.2059 |
| 384 | ABLATED | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1420-0.1420 |
| 384 | NEUTRAL_RESET | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1438-0.1438 |
| 384 | TRANSPLANT | 0.0006 | 0.0003 | 0.0005 | 43.8% | 0.1738-0.2059 |
| 432 | NATURAL | 0.0006 | 0.0003 | 0.0006 | 49.8% | 0.1753-0.2033 |
| 432 | ABLATED | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1420-0.1420 |
| 432 | NEUTRAL_RESET | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1438-0.1438 |
| 432 | TRANSPLANT | 0.0006 | 0.0003 | 0.0006 | 49.8% | 0.1753-0.2033 |
| 480 | NATURAL | 0.0006 | 0.0003 | 0.0006 | 50.1% | 0.1764-0.2062 |
| 480 | ABLATED | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1420-0.1420 |
| 480 | NEUTRAL_RESET | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1438-0.1438 |
| 480 | TRANSPLANT | 0.0006 | 0.0003 | 0.0006 | 50.1% | 0.1764-0.2062 |
| 512 | NATURAL | 0.0005 | 0.0002 | 0.0004 | 43.3% | 0.1755-0.2109 |
| 512 | ABLATED | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1420-0.1420 |
| 512 | NEUTRAL_RESET | 0.0000 | 0.0000 | 0.0000 | NaN% | 0.1438-0.1438 |
| 512 | TRANSPLANT | 0.0005 | 0.0002 | 0.0004 | 43.3% | 0.1755-0.2109 |

Cells run: 24 / 24 expected; 0 failures across all condition/depth/seed pairs.

| eta | kappa | Depth D | Mean D | SD | CV |
|---|---|---|---|---|---|
| 0.025 | 0.1 | 128 | 0.0017 | 0.0010 | 60.7% |
| 0.025 | 0.1 | 256 | 0.0012 | 0.0006 | 48.2% |
| 0.025 | 0.1 | 384 | 0.0008 | 0.0004 | 47.0% |
| 0.025 | 0.1 | 432 | 0.0007 | 0.0003 | 47.4% |
| 0.025 | 0.1 | 480 | 0.0006 | 0.0003 | 45.6% |
| 0.025 | 0.1 | 512 | 0.0007 | 0.0003 | 44.7% |
| 0.025 | 0.25 | 128 | 0.0009 | 0.0006 | 61.9% |
| 0.025 | 0.25 | 256 | 0.0008 | 0.0004 | 48.2% |
| 0.025 | 0.25 | 384 | 0.0007 | 0.0004 | 52.8% |
| 0.025 | 0.25 | 432 | 0.0006 | 0.0003 | 54.2% |
| 0.025 | 0.25 | 480 | 0.0007 | 0.0004 | 63.0% |
| 0.025 | 0.25 | 512 | 0.0007 | 0.0004 | 58.2% |
| 0.025 | 0.4 | 128 | 0.0004 | 0.0003 | 66.7% |
| 0.025 | 0.4 | 256 | 0.0008 | 0.0004 | 52.4% |
| 0.025 | 0.4 | 384 | 0.0007 | 0.0004 | 52.8% |
| 0.025 | 0.4 | 432 | 0.0006 | 0.0003 | 54.2% |
| 0.025 | 0.4 | 480 | 0.0007 | 0.0004 | 63.0% |
| 0.025 | 0.4 | 512 | 0.0007 | 0.0004 | 58.2% |
| 0.05 | 0.1 | 128 | 0.0018 | 0.0012 | 64.1% |
| 0.05 | 0.1 | 256 | 0.0010 | 0.0006 | 60.5% |
| 0.05 | 0.1 | 384 | 0.0009 | 0.0005 | 54.3% |
| 0.05 | 0.1 | 432 | 0.0008 | 0.0004 | 46.5% |
| 0.05 | 0.1 | 480 | 0.0007 | 0.0004 | 54.2% |
| 0.05 | 0.1 | 512 | 0.0007 | 0.0005 | 61.9% |
| 0.05 | 0.25 | 128 | 0.0011 | 0.0007 | 65.7% |
| 0.05 | 0.25 | 256 | 0.0005 | 0.0003 | 53.8% |
| 0.05 | 0.25 | 384 | 0.0006 | 0.0003 | 43.8% |
| 0.05 | 0.25 | 432 | 0.0006 | 0.0003 | 49.8% |
| 0.05 | 0.25 | 480 | 0.0006 | 0.0003 | 50.1% |
| 0.05 | 0.25 | 512 | 0.0005 | 0.0002 | 43.3% |
| 0.05 | 0.4 | 128 | 0.0006 | 0.0004 | 68.3% |
| 0.05 | 0.4 | 256 | 0.0007 | 0.0003 | 50.1% |
| 0.05 | 0.4 | 384 | 0.0007 | 0.0004 | 54.0% |
| 0.05 | 0.4 | 432 | 0.0007 | 0.0004 | 61.4% |
| 0.05 | 0.4 | 480 | 0.0006 | 0.0004 | 60.6% |
