depth,null_condition,seed,trial_id,pairwise_distance,mean_d,ci_lower,ci_upper,boot_se,perm_p_unadj,perm_p_fdr,hedges_g,g_ci_lower,g_ci_upper,verdict_flag
128,NATURAL_REFERENCE,101-202,trial_d128_NATURAL_s101_202_r0,0.00027491,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,101-202,trial_d128_NATURAL_s101_202_r1,0.00048313,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,101-202,trial_d128_NATURAL_s101_202_r2,0.00038178,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,101-303,trial_d128_NATURAL_s101_303_r0,0.00133723,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,101-303,trial_d128_NATURAL_s101_303_r1,0.00129894,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,101-303,trial_d128_NATURAL_s101_303_r2,0.00092992,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,202-303,trial_d128_NATURAL_s202_303_r0,0.00161214,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,202-303,trial_d128_NATURAL_s202_303_r1,0.00178208,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
128,NATURAL_REFERENCE,202-303,trial_d128_NATURAL_s202_303_r2,0.00131171,0.00104576,0.00068437,0.00140715,0.00018438,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,101-202,trial_d256_NATURAL_s101_202_r0,0.00023553,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,101-202,trial_d256_NATURAL_s101_202_r1,0.00020986,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,101-202,trial_d256_NATURAL_s101_202_r2,0.00029897,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,101-303,trial_d256_NATURAL_s101_303_r0,0.00058336,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,101-303,trial_d256_NATURAL_s101_303_r1,0.00049177,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,101-303,trial_d256_NATURAL_s101_303_r2,0.00053722,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,202-303,trial_d256_NATURAL_s202_303_r0,0.00081888,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,202-303,trial_d256_NATURAL_s202_303_r1,0.00070163,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
256,NATURAL_REFERENCE,202-303,trial_d256_NATURAL_s202_303_r2,0.00083618,0.00052371,0.00036820,0.00067922,0.00007934,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,101-202,trial_d384_NATURAL_s101_202_r0,0.00048065,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,101-202,trial_d384_NATURAL_s101_202_r1,0.00059768,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,101-202,trial_d384_NATURAL_s101_202_r2,0.00045719,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,101-303,trial_d384_NATURAL_s101_303_r0,0.00040516,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,101-303,trial_d384_NATURAL_s101_303_r1,0.00034320,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,101-303,trial_d384_NATURAL_s101_303_r2,0.00037766,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,202-303,trial_d384_NATURAL_s202_303_r0,0.00088581,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,202-303,trial_d384_NATURAL_s202_303_r1,0.00094088,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
384,NATURAL_REFERENCE,202-303,trial_d384_NATURAL_s202_303_r2,0.00083485,0.00059145,0.00043817,0.00074474,0.00007821,1.000000,1.000000,0.0000,0.0000,0.0000,BASELINE_REFERENCE
