depth,seed_id,pair_id,distance
128,seed_101,pair_1_2,0.1984
128,seed_101,pair_1_3,0.2215
128,seed_101,pair_2_3,0.2078
128,seed_202,pair_1_2,0.2140
128,seed_202,pair_1_3,0.2356
128,seed_202,pair_2_3,0.1892
128,seed_303,pair_1_2,0.2045
128,seed_303,pair_1_3,0.2289
128,seed_303,pair_2_3,0.2261
256,seed_101,pair_1_2,0.4120
256,seed_101,pair_1_3,0.4358
256,seed_101,pair_2_3,0.3985
256,seed_202,pair_1_2,0.4412
256,seed_202,pair_1_3,0.4560
256,seed_202,pair_2_3,0.3845
256,seed_303,pair_1_2,0.4280
256,seed_303,pair_1_3,0.4492
256,seed_303,pair_2_3,0.3838
384,seed_101,pair_1_2,0.6645
384,seed_101,pair_1_3,0.6920
384,seed_101,pair_2_3,0.6418
384,seed_202,pair_1_2,0.6880
384,seed_202,pair_1_3,0.7145
384,seed_202,pair_2_3,0.6350
384,seed_303,pair_1_2,0.6720
384,seed_303,pair_1_3,0.7015
384,seed_303,pair_2_3,0.6387
432,seed_101,pair_1_2,0.8150
432,seed_101,pair_1_3,0.8520
432,seed_101,pair_2_3,0.8010
432,seed_202,pair_1_2,0.8490
432,seed_202,pair_1_3,0.8765
432,seed_202,pair_2_3,0.7920
432,seed_303,pair_1_2,0.8285
432,seed_303,pair_1_3,0.8640
432,seed_303,pair_2_3,0.8010
480,seed_101,pair_1_2,0.9520
480,seed_101,pair_1_3,0.9880
480,seed_101,pair_2_3,0.9340
480,seed_202,pair_1_2,0.9760
480,seed_202,pair_1_3,1.0150
480,seed_202,pair_2_3,0.9210
480,seed_303,pair_1_2,0.9630
480,seed_303,pair_1_3,0.9980
480,seed_303,pair_2_3,0.9380
512,seed_101,pair_1_2,1.0920
512,seed_101,pair_1_3,1.1450
512,seed_101,pair_2_3,1.0650
512,seed_202,pair_1_2,1.1210
512,seed_202,pair_1_3,1.1780
512,seed_202,pair_2_3,1.0540
512,seed_303,pair_1_2,1.1080
512,seed_303,pair_1_3,1.1520
512,seed_303,pair_2_3,1.0570
