depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
128,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.076182
128,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.057958
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.069571
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.076219
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.072465
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.107017
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.105004
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.137081
128,seed_101,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.054021
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.10361
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.075637
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.072642
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.081298
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.112468
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.122903
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.050468
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.024802
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.020989
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.049398
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.061863
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.083865
128,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.039489
128,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.039329
