depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
128,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.00011069
128,seed_101,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.00056998
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.00074195
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.00080708
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.00077372
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.00074195
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.00080708
128,seed_101,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.00077372
128,seed_101,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.00068067
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.00085264
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.00091776
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.00088440
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.00085264
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.00091776
128,seed_101,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.00088440
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.00017197
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.00023710
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.00020374
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.00017197
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.00023710
128,seed_101,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.00020374
128,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.00006512
128,seed_101,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.00003176
128,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.00000000
128,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.00006512
128,seed_101,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.00003176
128,seed_101,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.00003336
128,seed_101,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.00006512
