depth,seed_id,history_id,replicate_id,poincare_u,poincare_v,pfm_head_digest,current_zone,strain_frobenius,governor_anti_lock
128,seed_101,H_ALPHA,0,0.14133045,0.00000000,ea1c0695bdf3258f82b32ba975756e710ee8e9eb3e351bff02e4404b7453a0cf,0,2.685659,99.40
128,seed_101,H_ALPHA,1,0.14138469,0.00000000,a999740e04637af0cf2785ed65164742be3ca7101ae5a8052cf0b84e5e00afbd,0,2.649925,99.40
128,seed_101,H_ALPHA,2,0.14105114,0.00000000,a9c5eb0afd862a0172fab656a5e7948d21069d8e9bcf027f255cf6fe68ed31a2,0,2.670950,99.40
128,seed_101,H_BETA,0,0.14096687,0.00000000,e3143e95d4d30c36510b15182461e4f75268c5fbf83329314ae90812986a4ee0,0,2.777404,99.40
128,seed_101,H_BETA,1,0.14093495,0.00000000,98550daa2dbf5e531fd2913167953f463f164b3ca1f6a49fe7c284134732df5f,0,2.700050,99.40
128,seed_101,H_BETA,2,0.14095130,0.00000000,3a7436e08157193415e012cf924a16565b8d4c9242348006bf2956c0f3625a30,0,2.731878,99.40
128,seed_101,H_GAMMA,0,0.14096687,0.00000000,3afb54353e265b8df2159e720a304609d8cd4ed742f93a2833abb7eec8f3bfaa,0,3.068450,99.40
128,seed_101,H_GAMMA,1,0.14093495,0.00000000,6a4c222b1a94a8ab251bb76db3b1ae9399f3cda748e18dd63d762a3b5599d1bd,0,2.979506,99.40
128,seed_101,H_GAMMA,2,0.14095130,0.00000000,6eae2529c0841f2bac439a0eb37a9c68cbd183ef238989fcc26bd4ffd6e52a95,0,3.020274,99.40
128,seed_202,H_ALPHA,0,0.14153175,0.00000000,e97d186185df8dd98fb097ab8bc4e57d6ea64bbbbaf359470cd5e75bde63779d,0,2.713696,99.40
128,seed_202,H_ALPHA,1,0.14141888,0.00000000,0b1b1cd97bd76180c881053c9fdd1ad9321e2771dc10bf97546efbc884c8d59c,0,2.671260,99.40
128,seed_202,H_ALPHA,2,0.14153899,0.00000000,2392e6b40a1105ebc854b72c02c7d208152e79b0d5662d54929414dd79b8fc6f,0,2.707380,99.40
128,seed_202,H_BETA,0,0.14095107,0.00000000,4cf225d6e2447330f4853efcde74e9ee6625d96e71c5a0ceb56f8bfe101f1d08,0,2.745448,99.40
128,seed_202,H_BETA,1,0.14096274,0.00000000,4b535770c0c08ef9a9130e785004c53c987e4260cac4b704dc50142707244e59,0,2.757352,99.40
128,seed_202,H_BETA,2,0.14095159,0.00000000,aa47c8bbdcb31abbed32c4d0704de2c252e0defca60699e39d733fda6a6eac3b,0,2.738883,99.40
128,seed_202,H_GAMMA,0,0.14095107,0.00000000,89d881eec53bf13de9cfab4f860e51d742faaf198ec958426d8e73b5a8f14f40,0,3.034487,99.40
128,seed_202,H_GAMMA,1,0.14096274,0.00000000,4cd12e00a7e4a58571a917fd8d8b512356721397943adda1b021a67387204edf,0,3.057421,99.40
128,seed_202,H_GAMMA,2,0.14095159,0.00000000,5faadb7877e58aabde2ea62ca9009970751850ea25d5993c8a3f67428043b9b4,0,3.023693,99.40
128,seed_303,H_ALPHA,0,0.14176822,0.00000000,cc04055d398a1f0afd5524dfb11f0d95739e60dd181f0d44e5c46751dd833b72,0,2.680325,99.40
128,seed_303,H_ALPHA,1,0.14175621,0.00000000,96eb001e6a13419590ef5e06936a2c46d213ab639fd357ca9ca27e3a6ac56451,0,2.704613,99.40
128,seed_303,H_ALPHA,2,0.14203441,0.00000000,62dca916b03b1eaf4a98d42bfdbc11144422662af7c59cb9aa79e89d387732f8,0,2.808485,99.40
128,seed_303,H_BETA,0,0.14096050,0.00000000,102c3ffdbfda4c2c09085fb24c75eb493fba20fb7f474a8b342494fb82f922d2,0,2.756529,99.40
128,seed_303,H_BETA,1,0.14097352,0.00000000,d93fbb7c58fc102b99357ab219092ad8af1b525a1637b51ed52d3d728d304935,0,2.792383,99.40
128,seed_303,H_BETA,2,0.14101514,0.00000000,57411fb5a8ab4fef683d0e856ea0a76b989498a3185d81a3d29e0e74f82d036d,0,2.878117,99.40
128,seed_303,H_GAMMA,0,0.14096050,0.00000000,ce802ccf68e0c47b2f523f588a817652470a3071755a088d2c2e22c146571e75,0,3.043836,99.40
128,seed_303,H_GAMMA,1,0.14097352,0.00000000,e4124c5767ec485d0f20b6fdc6f6c5ed4bbb0743460b8441e04e8d334948efab,0,3.087678,99.40
128,seed_303,H_GAMMA,2,0.14101514,0.00000000,edd7860672e9787237e847c057d32e0e8a55dc0833f085f20fcb88fef07eb8bf,0,3.189596,99.40
128,seed_404,H_ALPHA,0,0.14111196,0.00000000,c0f1373f78814466711fdfdc63c4d1eb135dc4f4c0b969b0046b528b89e5a0d7,0,2.713628,99.40
128,seed_404,H_ALPHA,1,0.14145580,0.00000000,da6b2149d984a70fef0d18fe712d1945789903ced904a7b61fc30915a82e3105,0,2.765240,99.40
128,seed_404,H_ALPHA,2,0.14069148,0.00000000,67977ba996794d045cd13cfdf6e043b8ef0482e4426a239ffda44692c248c609,0,2.670801,99.40
128,seed_404,H_BETA,0,0.14095799,0.00000000,06d4010b8da043efce44498a53d3a18856c2b76bb8178f5a2b0890ee760ce4f7,0,2.758826,99.40
128,seed_404,H_BETA,1,0.14100468,0.00000000,d8845069246a590302632e45147d6c2b461c558485623d65e34e21fd1f6bc4b1,0,2.850101,99.40
128,seed_404,H_BETA,2,0.14095003,0.00000000,0615daa29a919a971e79500b9feb3f60f1d5d71bee4688aaa22fa38f044b8297,0,2.739275,99.40
128,seed_404,H_GAMMA,0,0.14095799,0.00000000,9d1833dafe18c27b24161f990476d91a0a753485d8a139e81cce323304c706b7,0,3.052078,99.40
128,seed_404,H_GAMMA,1,0.14100468,0.00000000,5d3aa8d6dd15f412cbcbce13d5f9fe6d50577fef8358a5589d75a91ee460f936,0,3.160722,99.40
